中孚,诚信之道 感通于心
中孚,诚信之道 感通人心
中孚,诚信之德 感通人心
中孚,诚信为本 感化于人
中孚,诚信为本 感通人心
中孚,诚信为本 和谐共生
中孚,诚信为本 内省自修
中孚,诚信为本 和谐共处
中孚,诚信之德 感通万事
中孚,诚信为本 感化人心
中孚,诚信之德 内省外通
中孚,诚信为本 和谐共鸣
中孚,诚信之至 感通万物
中孚,信任之本 诚信立人
中孚,诚信为本 感化他人
中孚,诚信之德 感化人心
中孚,信任之源 诚信为本
中孚,诚信之德 感通万物
中孚,诚信待人 和谐共处
中孚,诚信为本 内省自悟
中孚,诚信之道 以信立世
中孚,诚信为本 内省外观
中孚,诚信之德 和谐共鸣
中孚,诚信为本 和悦相待
中孚,诚信之本 感通人心
中孚,诚信为本 和谐相处
中孚,诚信之德 和谐共生
震,激发动力 勇往直前
震,激发潜能 勇往直前
震,激发潜力 勇往直前
震,激发潜能 唤醒力量
震,激荡前行 奋发有为
震,雷厉风行 激发潜能
震,激荡前行 勇往直前
震,激发行动 勇往直前
震,惊蛰启蛰 动而有为
震,激发潜能 唤醒勇气
震,激发行动 唤醒潜力
震,激发活力 勇往直前
震,激发行动 唤醒潜能
震,激发动力 觉醒前行
震,激发动力 唤醒沉睡
豫,顺时依势 安闲自在
豫,预示欢乐与顺遂
豫,顺时依势 安闲自得
豫,居安思危 早做准备
豫,顺时而动 弱者服从
豫,大地回春 顺时依势
豫,顺时依势 悦乐之象
豫,预见先机 快乐自得
豫,顺时而动 乐观前行
豫,顺时而动 服从强者
豫,欢乐 利于领导军队
豫,顺时依势 悦乐之源
豫,顺应时机 得福安康
豫,顺势而为 悦乐吉祥
豫,预示愉悦 利于行军
豫,过度欢乐 防患未然
豫,顺时依势 悦服快乐
豫,欢乐与警示 节制
豫,顺时依势 万物苏醒
豫,积极准备 迎接未来
豫,预知未来 准备充分
豫,顺时依势 居安思危
豫,顺时行乐 和悦之兆
豫,顺时依势 乐中存忧
豫,顺时依势 悦乐之境
豫,预示欢乐 利于出征
益,渐进增益 满而不溢
益,增益积累 顺势而为
益,顺势而为 增益无疆
益,顺势而为 增益无穷
益,渐进增益 善用外力
益,渐进增益 善用资源
益,增进发展 日积月累
益,增进发展 日益昌盛
益,顺势而为 增益不息
益,逐渐进步 由小到大
益,增益之道 善用则成
益,顺势增益 由小及大
益,增进不息 日积月累
益,顺应时机 增益发展
益,增进不息 利有攸往
益,增益不息 积累成多
益,持续增长 由小变大
益,渐进增益 顺势而为
益,逐渐进步 由小见大
益,增益不息 日积月累
益,顺势而为 增益发展
益,增进发展 善用增益
益,增进不息 日益盛大
益,增进互信 合作共赢
益,增进不息 日益向上
益,增益之道 顺天应人
益,增益之道 善用则吉
益,增益不息 顺应天时
益,增益发展 善用资源
颐,养生之道 自养养人
颐,养生之道 顺应自然
颐,养生之道 自求口实
颐,咀嚼养生 顺势而为
颐,养育之道 顺应自然
颐,养生之道 慎言慎行
颐,养正则吉 观察养生
颐,培养元气 养生有道
颐,养生之道 养正则吉
颐,养正则吉 顺势而为
颐,养育之德 自养养人
颐,养生有道 顺应自然
颐,养育之道 以正得养
颐,养生之道 自养养人
颐,培养内涵 养精蓄锐
颐,养正则吉 观我生进退
颐,养生之道 慎始善终
巽,顺从自然 无阻无碍
巽,顺从自然 柔克刚
巽,顺应变化 柔顺前行
巽,顺风而行 柔顺以进
巽,顺从自然 以柔克刚
巽,顺风而行 柔顺通达
巽,顺从适应 通达无阻
巽,顺从适应 柔顺入微
巽,顺风而行 入微随势
巽,顺应环境 柔顺进退
巽,顺从内敛 以柔克刚
巽,顺应变化 顺风而行
巽,顺势而为 顺从自然
巽,顺从内敛 柔顺通达
巽,柔顺以通 顺应变化
巽,顺风而行 无往不利
巽,顺应变化 灵活应对
巽,顺风而行 柔顺贯通
巽,顺应变化 柔顺通行
巽,顺从适应 柔顺通达
巽,顺从自然 通达无阻
巽,顺从通达 柔顺入微
巽,柔顺通达 顺应变化
巽,顺从自然 柔顺以进
巽,顺从适应 灵活变通
巽,顺从内省 沟通无阻
巽,顺风而行 柔顺内敛
巽,顺从通达 柔顺入微 
巽,柔顺入微 通达无阻
巽,顺风而动 柔顺入微
巽,柔顺入微 深入影响
巽,顺应时势 顺风而行
巽,深入洞察 顺从适应
巽,顺风而行 柔顺适应
巽,顺应变化 柔顺通达
巽,顺行无阻 柔顺通达
巽,顺风而行 沟通无阻
巽,顺风而行 柔克刚
巽,顺应变化 顺从自然
巽,顺风而行 通达无阻
巽,顺风而动 柔顺通达
需,耐心等待 适时行动
需,耐心待时 适时而动
需,耐心等待 适时而行
需,耐心等待 时机成熟
需,耐心待时 顺应自然
需,待时而进 以静制动
需,等待时机 耐心为上
需,待时而动 以静制动
需,等待时机 节制欲望
需,耐心等待 适时而动
需,待时而动 顺应天时
需,耐心等待 待机而行
需,等待时机 耐心应对
需,耐心待时 适时而行
需,等待时机 静以待变
需,待时而动 顺势而为
需,耐心待时 适时行动
需,耐心守候 适时而行
小过,适时调整 防微杜渐
小过,谨慎行事 防微杜渐
小过,适时调整 小步前行
小过,细节之鉴 慎微慎渐
小过,谨慎行事 避免过度
小过,谨慎行事 勿过度
小过,适时调整 谨慎行事
小过,谨慎行事 避免过失
小过,适时调整 避免过度
小过,细微调整 循序渐进
小过,细节决定成败
小过,细节之警 防微杜渐
小过,细节审慎 防微杜渐
小过,细微调整 谨慎行事
小过,细节之鉴 谨慎行事
小过,谨慎行动 防微杜渐
小过,适时调整 小步前进
小过,细节之鉴 慎小防微
小过,细节之善 小步前行
小畜,积小成大 渐进蓄积
小畜,积微成著 待时而动
小畜,积累待发 循序渐进
小畜,积微成著 渐入佳境
小畜,积小成大 渐至佳境
小畜,积小成大 渐进发展
小畜,积小成大 以柔克刚
小畜,积微成著 渐进待时
小畜,积小成大 循序渐进
小畜,积累细微 待时而发
小畜,积小成大 待时而发
小畜,积微成著 以待时机
小畜,积微成著 渐进有功
小畜,积小成大 待时而动
小畜,积小成大 渐次进步
小畜,细水长流 积蓄待发
小畜,积小成大 渐入佳境
小畜,细蕴积 待时而发
小畜,积小成大 以柔制刚
